gerente , Cadastro de livro , 13-11-2017 , 18:19:38
gerente , Logout do sistema , 13-11-2017 , 18:19:41
gerente , Logout do sistema , 13-11-2017 , 18:19:49
gerente , Exibir todos os livros ordenados por autor , 13-11-2017 , 18:20:33
gerente , Login no sistema , 13-11-2017 , 18:26:33
gerente , Busca por livro , 13-11-2017 , 18:27:03
gerente , Exibir todos os livros ordenados por autor , 13-11-2017 , 18:27:20
gerente , Cadastro de livro , 13-11-2017 , 18:29:06
gerente , Cadastro de livro , 13-11-2017 , 18:30:21
gerente , Cadastro de livro , 13-11-2017 , 18:31:21
gerente , Logout do sistema , 13-11-2017 , 18:31:24
tecnico , Login no sistema , 13-11-2017 , 18:16:51
tecnico , Cadastro de livro , 13-11-2017 , 18:18:08
tecnico , Logout do sistema , 13-11-2017 , 18:18:13
